Sequence ID	1_A1_scoreScore1_x	1_A1_scoreScore2_x	1_A1-final-viral-score_vs2_scoreScore1	1_A1-final-viral-score_vs2_scoreScore2	1_A1-final-viral-score_vs2_scoreScore3	1_VIBRANT_genome_quality_A1_scoreScore1	1_VIBRANT_genome_quality_A1_scoreScore2	1_VIBRANT_genome_quality_A1_scoreScore3	1_VIBRANT_genome_quality_A1_scoreScore4	1_A1_scoreScore1_y	1_A1_scoreScore2_y	2_A1_scoreScore	2_A1_scoreScore1_x	2_A1_scoreScore2_x	2_A1-final-viral-score_vs2_add_scoreScore	2_A1_scoreScore1_y	2_A1_scoreScore2_y	3_A1_scoreScore1_x	3_A1_scoreScore2_x	3_A1_scoreScore3_x	3_A1-final-viral-score_vs2_rmv_scoreScore	3_A1_scoreScore1_y	3_A1_scoreScore2_y	3_A1_scoreScore3_y
k141_10001	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
k141_10002	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_10003	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_10004	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_10005	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_10006	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_10007	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
k141_10008	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_10009	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_10010	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
k141_100100	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	-1	0	0	0
k141_1001000	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_1001001	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
k141_1001002	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
k141_1001003	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_1001004	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
k141_1001004	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
k141_1001005	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
k141_1001006	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0
k141_1001007	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
k141_1001008	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_1001009	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
k141_100101	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0
